"Product Name",Description,"Image Link",Price,Rating,"Merchant Name","Product Link"
"New Xiaomi redmi 4a Grey-2/16 Garansi Distributor 1 Tahun","Kondisi: Baru
Berat: 400 Gram
Kategori: Android OS
Etalase: REDMI






GARANSI 1 TAHUN DISTRIBUTOR
GARANSI TIDAK BERLAKU JIKA DI TEMUKAN HUMAN EROR,SEPERTI :
- TERKENA CAIRAN
- SEGEL RUSAK/HILANG
- TERBAKAR
- TERJATUH
- HUMAN EROR (KESALAHAN PENGGUNA)
- GARANSI LCD 3 BULAN
- ONKIR CLAIM GARANSI DI TANGGUNG PEMBELI
- ULASAN JELEK GARANSI HANGUS

Deskripsi
REDMI 4A 2/16
✓LCD : 5.0 inch
✓CPU : Quad-Core 1.4 GHz
✓RAM : 2 GB
✓Memory : 16 GB
✓Camera depan : 5 MP
✓Camera belakang : 13 MP
✓Battery : 3120 mah
✓Sim card : hybrid
✓Jaringan : 4G

*PENGIRIMAN AKAN KAMI PACKING DENGAN BUBBLE WRAP.
Lihat Lebih Sedikit","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/20/18d4af45-8336-457e-b5ce-7846ced7f6d9.jpg.webp?ect=4g",565000.0,4.8,"INFINITITE SHOP","https://www.tokopedia.com/infinitite/new-xiaomi-redmi-4a-grey-2-16-garansi-distributor-1-tahun?src=topads"
"Hp 981y Extra high Balack","HP 981Y Extra High Yield Black Original Ink Cartridge

Cetak paling banyak dengan tinta hasil ekstra tinggi, memberi Anda cetakan tiga kali lebih banyak untuk warna hitam dan hampir tiga kali cetakan untuk warna dibandingkan dengan tinta hasil standar. HP 981Y Black Pagewide Enterprise Ink Cartridge menghasilkan dokumen sehari-hari berkualitas profesional dalam printer seri 556 atau 586 Anda untuk nilai yang besar, sekaligus membiarkan kelompok kerja menghemat waktu membuat cetakan yang konsisten dan tahan lama.

BARANG DIJAMIN 100% ORIGINAL","https://images.tokopedia.net/img/cache/500-square/product-1/2019/11/3/6942872/6942872_d4a61f08-ada2-4949-83b1-ab9b655ce39e_700_700.jpg.webp?ect=4g",1450000.0,0.0,mlatifjaya,"https://www.tokopedia.com/mlatifjaya/hp-981y-extra-high-balack?src=topads"
"(IBOX) iPhone 12 Pro 128GB 256GB 512GB Garasni Resmi 1 Thn 128 256 512 - 128 GB, Graphite","PASTI READY - ORIGINAL - BRAND NEW

Iphone 12 Pro
Layar :6.1 inch
Memori : 128 GB - 256 GB - 512 GB
Warna : Pacific Blue - Graphite - Gold - Silver

- Garansi Resmi Apple Indonesia 1 Tahun
- Imei Terdaftar di Kemenperin
- BNIB (Brand New In Box) - Segel Greenpeel
- Di Dalam box: Unit iPhone + USB-C to Lightning Cable

Baca ulasan2 pembeli lain nya biar kalian yakin belanja disini :


Sekilas info Putra Group :

1. Positif review 99 % dr 100 % kepuasan customer
2. Sudah melayani 15,000 ++ customer secara online
3. Garansi Resmi Apple 1 Tahun
4. Brand new - Original - Segel
5. After sales yg siap melayani anda selama 24 jam

Premium Tempered Glass


Apple Airtag


Apple 20W USB Fast Charger- C Power Adapter


MagSafe Wireless Charger


Clear Case Iphone 12


Silicone Case Iphone 12 :


Leather Case Iphone 12:


**Catatan Garansi Resmi**

TIDAK ADA Garansi Toko, segala bentuk kerusakan saat produk diterima langsung claim ke service center. Membeli = Setuju","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/13/a4dcd258-d1d1-4cc1-8c77-73d592c63620.jpg.webp?ect=4g",1.719E7,5.0,"Putra Group","https://www.tokopedia.com/putragroup/ibox-iphone-12-pro-128gb-256gb-512gb-garasni-resmi-1-thn-128-256-512-128-gb-graphite?src=topads"
"iphone 11 pro max 64gb 256gb second mulus fullset no minus - 64 gb, Grey","Mengapa harus belanja di Appleshop :
1. Hari Minggu dan tanggal merah lainnya PENGIRIMAN tetap ON
2. Pengiriman menggunakan ekspedisi JNE, JNT, TIKI, SICEPAT selalu malam, penginputan resi dihari berikutnya
3. Bukan cuma seller musiman yang menghilang entah kemana setelah barang jualannya udah laku.

Wajib baca sebelum membeli produk di lapak kami:
- all operator indo bisa (FU)
- Kondisi mulus 98-99%
- Original Apple 100% , LCD Original
- No Recond No refurb
- 3utools ijo
- Barang yang kami kirim , sebelumnya sudah di quality control untuk semua fungsi hp
- Semua unit fullset oem, untuk acc tidak ada garansi. Dan warna dus diusahakan dikirim sesuai dengan warna hp, mohon dimaklumi apabila warna dus habis maka akan kami kirim random yang terpnting fungsi hp ok.
- Semua unit icloud aman (udah kosong)
- Semua unit bisa semua operator indo (FU)
- Tidak bisa request battery health, dipastikan unit yang dikirim yang terbaik dan tidak service (BH 80++)

Garansi kami hangus/void jika human error (kesalahan dari penguna sendiri ) seperti :
Terjatuh
Terbakar
Terkena cairan
Segel rusak / hilang / koyak

Syarat dan ketentuan retur :
# Jika Kerusakan Bukan Ulah Pengguna/ Rusak Mendadak ! Bukan Human Error / Masuk Air / Sebab Lain Yg Mengakibatkan Rusak Produk Tsb
# Jika Unit Masih Dalam Kondisi Awalnya/NoLecet dan SEGEL Saya Di HP Masih UTUH harap menjadi perhatian
# Jika Unit Pemakaian Sudah Lecet Garansi HANGUS.
# Ongkir Retur sepenuhnya ditanggung oleh pembeli
#Kami tidak akan memproses retur jika ada icloud di hp tersebut

- MOHON DIBACA TERLEBIH DAHULU SEBELUM MELAKUKAN TRANSAKSI
- REVIEW / COMMENT NEGATIF PADA LAPAK GARANSI VOID / HANGUS!!!","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/3/6fb3761b-c77c-473f-97ec-91166092c2d8.jpg.webp?ect=4g",1.0996E7,5.0,Apple_shop,"https://www.tokopedia.com/apple-shop/iphone-11-pro-max-64gb-256gb-second-mulus-fullset-no-minus-64-gb-grey?src=topads"
"DUAL SIM Apple iPhone 64GB 12 / Mini Black Blue Green Red White 64 GB - 12 Mini Single","DESKRIPSI 12 PRO DAN 12 PRO MAX

Ready Stock & Siap Kirim

READY STOCK
FREE TEMPERED GLASS & SOFTCASE selama persediaan masih ada


Yuk dibaca dulu dengan teliti yah sampai habis, jangan setengah2 :D

Ada 2 Variant :

1. Single Sim ( Nano + eSIM ) = 1 Nano sim untuk varian single sim tidak diregister eSIM-nya
2. Dual Sim ( Dual Nano SIM / Nano SIM + eSIM )

- BNIB (Brand New In Box)
- Di Dalam box: Unit iPhone + USB-C to Lightning Cable

Alasan utama ANDA belanja disini !

1) Garansi Resmi 1 tahun Apple Internasional**

2) UNIT DAN AKSESORIS MASIH SEGEL DAN ORIGINAL 100 %

3) TRUSTED SELLER yang sudah menjual ribuan produk di semua marketplace di Indonesia sejak 2012 . Badge Gold Merchant juga menandakan bahwa kami adalah salah satu TRUSTED SELLER dengan rata2 akurasi dan kualitas produk 4,9 dari 5 alias (99 %)

**Claim iPhone bisa dibantu, dan semua biaya pengurusan ditanggung oleh pembeli jika ada pergantian unit handphone (bagi yg memberikan ulasan / review bintang 5 kami kasih cashback voucher klaim jadi biaya pengurusan klaim ditanggung seller sepenuhnya)

PRODUK :
1.BARANG BARU BNIB.. ?? SEMUA BARANG KAMI BARU DAN SEGEL
2.BARANG ASLI..?? Semua produk kami asli, bergaransi resmi internasional.
3. 7 HARI GARANSI SELLER, 1 TAHUN RESMI APPLE INTERNASIONAL","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/14/2a7aa291-cfdd-4c23-824d-56614baebf64.png.webp?ect=4g",1.075E7,5.0,"Big Berry Cellular","https://www.tokopedia.com/bigberry888/dual-sim-apple-iphone-64gb-12-mini-black-blue-green-red-white-64-gb-12-mini-single?src=topads"
"IPHONE XR 64GB Second original mulus - Merah","FULLSET
jaringan aman 100%
Bisa pakai semua kartu / all provider

Ready stok iphone original 100%


kemulusan unit 97-99%
semua fungsi normal lancar jaya
Ex inter Global silent kamera
KESEHATAN BH DIATAS 90%
3utools random 95% - 100% ga bisa REQUEST
LCD original bawaan 100%
icloud kosong. bebas reset. bebas update
Garansi 1 Bulan setelah barang diterima
kecuali segel rusak / human error
Feedback negatif garansi hangus
Fullset (lengkap) acc oem
untuk headset di pairing dulu kak konek bluetooth

Note : perlengkapan aksesoris OEM artinya bukan original bawaan. seperti Adapter / Kabel / Headset tidak ada garansi","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/17/43c6045b-6876-4a03-84e1-0353add8c329.jpg.webp?ect=4g",5175000.0,4.9,yunishop00,"https://www.tokopedia.com/yunishop00/iphone-xr-64gb-second-original-mulus-merah?whid=0"
"POCO X3 PRO 6/128-8/256 GARANSI RESMI - metal bronze, 6GB 128GB","Tanyakan stok terlebih dahulu

Untuk peking lebih aman tambahkan orderan buble wrap

NETWORK
Technology GSM / HSPA / LTE
2G bands GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2
3G bands HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100
4G bands 1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41
Speed HSPA 42.2/5.76 Mbps, LTE-A

LAUNCH
Announced 2021, March 22
Status Available. Released 2021, March 24

BODY
Dimensions 165.3 x 76.8 x 9.4 mm (6.51 x 3.02 x 0.37 in)
Weight 215 g (7.58 oz)
Build Glass front (Gorilla Glass 6), plastic back
SIM Hybrid Dual SIM (Nano-SIM, dual stand-by)
IP53, dust and splash protection
DISPLAY
Type IPS LCD, 120Hz, HDR10, 450 nits (typ)
Size 6.67 inches, 107.4 cm2 (~84.6% screen-to-body ratio)
Resolution 1080 x 2400 pixels, 20:9 ratio (~395 ppi density)
Protection Corning Gorilla Glass 6

PLATFORM
OS Android 11, MIUI 12 for POCO
Chipset Qualcomm Snapdragon 860 (7 nm)
CPU Octa-core (1x2.96 GHz Kryo 485 Gold & 3x2.42 GHz Kryo 485 Gold & 4x1.78 GHz Kryo 485 Silver)
GPU Adreno 640

MEMORY
Card slot microSDXC (uses shared SIM slot)
Internal 128GB 6GB RAM, 256GB 8GB RAM
UFS 3.1

MAIN CAMERA
Quad 48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)
Features Dual-LED flash, HDR, panorama
Video 4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS
SELFIE CAMERA
Single 20 MP, f/2.2, (wide), 1/3.4"", 0.8µm
Features HDR, panorama
Video 1080p@30fps

SOUND
Loudspeaker Yes, with stereo speakers
3.5mm jack Yes
24-bit/192kHz audio

COMMS
WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot
Bluetooth 5.0, A2DP, LE
GPS Yes, with A-GPS, GLONASS, GALILEO, BDS
NFC Yes (market/region dependent)
Infrared port Yes
Radio FM radio, recording
USB USB Type-C 2.0, USB On-The-Go

FEATURES
Sensors Fingerprint (side-mounted), accelerometer, gyro, proximity, compass

BATTERY
Type Li-Po 5160 mAh, non-removable
FAST Charging 33W","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/26/760483f0-9f40-487f-9767-2e6186d46f84.jpg.webp?ect=4g",3434000.0,5.0,BuyForSell,"https://www.tokopedia.com/buyforsell/poco-x3-pro-6-128-8-256-garansi-resmi-metal-bronze-6gb-128gb?whid=0"
"iPhone XR 64GB Second / Bekas Original 100% - RED, FULLSET","Sisihkan waktu anda sebentar untuk membaca deskripsi product kami sampai habis.

Ready Stock, Siap kirim !
Fast response & Open 24/7

BISA SEMUA KARTU / ALL OPERATOR

• Ex Garansi inter bukan rekondisi
• Face id on
• True Tone on
• Battery Health minimal 80% (tidak bisa request BH)
• Kondisi fisik 85-95% (Random & Tidak bisa request foto)
• Fullset Oem
• Garansi 7 Hari Dari Barang Diterima
Cara konek HF : colok kabel ke port ,masuk ke menu bluetooth ,pick yang tulisan lightning

*WAJIB MENYERTAKAN VIDEO UNBOXING, Apabila product yang diterima ada kendala.
*Memberikan bintang 1 / ulasan buruk = Garansi void / tidak berlaku.

PENGIRIMAN :
- Untuk pengiriman via JNT, Anteraja dan Sicepat, Dilakukan Setiap hari pukul 11.00 s/d 18.00 WIB
(UNTUK RESI PENGIRIMAN AKAN TERUPDATE SECARA OTOMATIS DI MALAM HARI).
- Untuk opsi pengiriman sameday max order pukul 14.30 WIB.
- Instant kurir maksimal order pukul 17.00 WIB
- Jika pesanan melewati waktu, Pesanan akan di proses keesokan harinya.

#beligadgetantiribet","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/22/b0e4f474-17b6-4386-8941-4e173a3515ea.png.webp?ect=4g",4965000.0,4.9,appleable,"https://www.tokopedia.com/appleable/iphone-xr-64gb-second-bekas-original-100-red-fullset?whid=0"
"Xiaomi Poco F3 5G 8/256 Ram 8 Internal 256Gb Garansi Resmi - Biru","Wajib Dibaca ya gan...
Pengiriman Luar pulau bali wajib asuransi,tanpa asuransi = cancel
instan Grab dan Gojek optional...

Jln Gelogor Carik
Gg Kangguru No. 6C pemogan
Denpasar - Bali
Google Maps: Gading Bali
Wa: 082 # 236 # 211 # 211


Poco F3 5G 8/256 Pocophone F3 5G Poco F 3 5 G Garansi Resmi

Technology: GSM / HSPA / LTE / 5G
Announced: 2021, March 22
Status: Available. Released 2021, March 27

Dimensions: 163.7 x 76.4 x 7.8 mm (6.44 x 3.01 x 0.31 in)
Weight: 196 g (6.91 oz)
Build: Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame

Dual SIM (Nano-SIM, dual stand-by)
Type: AMOLED, 120Hz, HDR10+, 1300 nits (peak)
Size: 6.67 inches, 107.4 cm2 (~85.9% screen-to-body ratio)
Resolution: 1080 x 2400 pixels, 20:9 ratio (~395 ppi density)
Protection: Corning Gorilla Glass 5
OS: Android 11, MIUI 12 for POCO
Chipset: Qualcomm SM8250-AC Snapdragon 870 5G (7 nm)
CPU: Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)
GPU: Adreno 650

Card slot: No
Internal: 8GB RAM 256GB Storage
UFS 3.1

Main Camera:
Triple:
48 MP, f/1.8, 26mm (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide)
5 MP, f/2.4, 50mm (macro), 1/5.0"", 1.12µm, AF

Selfie Camera Single 20 MP, f/2.5, (wide), 1/3.4"", 0.8µm

WLAN: Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot
Bluetooth: 5.1, A2DP, LE
GPS: Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC
NFC: Yes (market/region dependent)
Infrared port: Yes

USB: Type-C 2.0, USB On-The-Go
Sensors: Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, color spectrum
Battery: Li-Po 4520 mAh, non-removable
Charging Fast charging 33W, 100% in 52 min (advertised)
Power Delivery 3.0
Quick Charge 3+","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/25/89493320-bb2f-4a43-8bb2-30d9f98c7e0a.jpg.webp?ect=4g",5525000.0,5.0,"Gading Bali Shop","https://www.tokopedia.com/gadingbalishop/xiaomi-poco-f3-5g-8-256-ram-8-internal-256gb-garansi-resmi-biru?whid=0"
"(IBOX) iPhone XR 64GB 128GB 256GB Garansi Resmi TAM 1 Tahun 64 128 256 - 64 gb, Black","PASTI READY - ORIGINAL - BRAND NEW

Iphone XR
Layar :6.1 inch
Memori : 64GB - 128 GB - 256 GB
Warna : Black - White Red

- Garansi Resmi Apple Indonesia 1 Tahun
- Imei Terdaftar di Kemenperin
- BNIB (Brand New In Box) - Segel Greenpeel
- Di Dalam box: Unit iPhone + USB-C to Lightning Cable

Baca ulasan2 pembeli lain nya biar kalian yakin belanja disini :


Sekilas info Putra Group :

1. Positif review 99 % dr 100 % kepuasan customer
2. Sudah melayani 15,000 ++ customer secara online
3. Garansi Resmi Apple 1 Tahun
4. Brand new - Original - Segel
5. After sales yg siap melayani anda selama 24 jam

Premium Tempered Glass


Apple Airtag


Apple 20W USB Fast Charger- C Power Adapter


Apple 18 W USB Fast Charger - C Power Adapter :


MagSafe Wireless Charger


Apple Earpod Original


**Catatan Garansi Resmi**

TIDAK ADA Garansi Toko, segala bentuk kerusakan saat produk diterima langsung claim ke service center. Membeli = Setuju","https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/13/c0f4bf88-768e-4c9b-91cb-8b7485d64817.jpg.webp?ect=4g",7399000.0,5.0,"Putra Group","https://www.tokopedia.com/putragroup/ibox-iphone-xr-64gb-128gb-256gb-garansi-resmi-tam-1-tahun-64-128-256-64-gb-black?whid=0"
